Periodicity;Year;Month;Quarter;Transactions / Sales;Sector;Value in different units;Date_Object;Date;Name
Annually;2018;;;Construction & Building Materials;Sales;10517614.1794999;2018-01-01;2018;Construction & Building Materials :  Sales
Annually;2018;;;Jewelry;Number of Transactions;7507.542;2018-01-01;2018;Jewelry :  Number of Transactions
Annually;2018;;;Others;Sales;21912210.3960915;2018-01-01;2018;Others :  Sales
Quarterly;2018;;Q4;Transportation;Sales;4612751.34588998;2018-10-01;Q4 2018;Transportation :  Sales
Quarterly;2018;;Q2;Health;Number of Transactions;30738.441;2018-04-01;Q2 2018;Health :  Number of Transactions
Quarterly;2018;;Q3;Health;Number of Transactions;32108.421;2018-07-01;Q3 2018;Health :  Number of Transactions
Quarterly;2018;;Q2;Health;Sales;5294269.0323;2018-04-01;Q2 2018;Health :  Sales
Quarterly;2018;;Q1;Hotels;Number of Transactions;2351.34;2018-01-01;Q1 2018;Hotels :  Number of Transactions
Quarterly;2018;;Q4;Hotels;Number of Transactions;2852.213;2018-10-01;Q4 2018;Hotels :  Number of Transactions
Quarterly;2018;;Q3;Hotels;Sales;1694497.05482999;2018-07-01;Q3 2018;Hotels :  Sales
Quarterly;2018;;Q4;Hotels;Sales;1870350.05516999;2018-10-01;Q4 2018;Hotels :  Sales
Quarterly;2018;;Q2;Beverage and Food;Sales;7542607.21176;2018-04-01;Q2 2018;Beverage and Food :  Sales
Quarterly;2018;;Q2;Clothing and Footwear;Number of Transactions;34365.593;2018-04-01;Q2 2018;Clothing and Footwear :  Number of Transactions
Quarterly;2018;;Q1;Clothing and Footwear;Sales;5930821.6;2018-01-01;Q1 2018;Clothing and Footwear :  Sales
Quarterly;2018;;Q2;Recreation and Culture;Number of Transactions;8035.875;2018-04-01;Q2 2018;Recreation and Culture :  Number of Transactions
Quarterly;2018;;Q3;Recreation and Culture;Number of Transactions;8322.731;2018-07-01;Q3 2018;Recreation and Culture :  Number of Transactions
Quarterly;2018;;Q4;Recreation and Culture;Number of Transactions;8779.816;2018-10-01;Q4 2018;Recreation and Culture :  Number of Transactions
Quarterly;2018;;Q2;Miscellaneous Goods and Services;Number of Transactions;12092.495;2018-04-01;Q2 2018;Miscellaneous Goods and Services :  Number of Transactions
Quarterly;2018;;Q1;Miscellaneous Goods and Services;Sales;5599637.65749993;2018-01-01;Q1 2018;Miscellaneous Goods and Services :  Sales
Quarterly;2018;;Q4;Miscellaneous Goods and Services;Sales;6818620.91533994;2018-10-01;Q4 2018;Miscellaneous Goods and Services :  Sales
Quarterly;2018;;Q3;Electronic & Electric Devices;Sales;2081126.20731998;2018-07-01;Q3 2018;Electronic & Electric Devices :  Sales
Quarterly;2018;;Q4;Furniture;Number of Transactions;3714.753;2018-10-01;Q4 2018;Furniture :  Number of Transactions
Quarterly;2018;;Q4;Construction & Building Materials;Number of Transactions;2923.873;2018-10-01;Q4 2018;Construction & Building Materials :  Number of Transactions
Quarterly;2018;;Q1;Construction & Building Materials;Sales;2545859.06455997;2018-01-01;Q1 2018;Construction & Building Materials :  Sales
Quarterly;2018;;Q4;Construction & Building Materials;Sales;2932965.66683996;2018-10-01;Q4 2018;Construction & Building Materials :  Sales
Quarterly;2018;;Q1;Jewelry;Number of Transactions;1591.845;2018-01-01;Q1 2018;Jewelry :  Number of Transactions
Quarterly;2018;;Q1;Telecommunication;Number of Transactions;1112.801;2018-01-01;Q1 2018;Telecommunication :  Number of Transactions
Quarterly;2018;;Q2;Telecommunication;Number of Transactions;1194.843;2018-04-01;Q2 2018;Telecommunication :  Number of Transactions
Quarterly;2018;;Q4;Telecommunication;Number of Transactions;1430.916;2018-10-01;Q4 2018;Telecommunication :  Number of Transactions
Quarterly;2018;;Q3;Education;Sales;2358075.66656999;2018-07-01;Q3 2018;Education :  Sales
