Periodicity;Year;Month;Quarter;Economic Activity;Bank Credit in (Million Riyals);Date;Date_Object
Monthly;2024;JAN;;Accommodation and Food Service Activities;43828.772146;JAN 2024;2024-01-01
Monthly;2024;MAR;;Accommodation and Food Service Activities;40006.503933;MAR 2024;2024-03-01
Monthly;2024;SEP;;Information and Communication;26456.57300686;SEP 2024;2024-09-01
Annually;2024;;;Agriculture, Forestry and Fishing;8317.108786;2024;2024-01-01
Annually;2024;;;Manufacturing;180308.452664;2024;2024-01-01
Annually;2024;;;Real Estate Activities;321483.1182339;2024;2024-01-01
Annually;2024;;;Administrative and Support Service Activities;66261.657265;2024;2024-01-01
Quarterly;2024;;Q1;Agriculture, Forestry and Fishing;8817.228875;Q1 2024;2024-01-01
Quarterly;2024;;Q3;Wholesale and Retail Trade;203052.900274;Q3 2024;2024-07-01
Quarterly;2024;;Q4;Wholesale and Retail Trade;198625.067714;Q4 2024;2024-10-01
Quarterly;2024;;Q1;Financial and Insurance Activities;116489.793539;Q1 2024;2024-01-01
Quarterly;2024;;Q1;Real Estate Activities;266604.55543729;Q1 2024;2024-01-01
Quarterly;2024;;Q3;Real Estate Activities;299747.949884;Q3 2024;2024-07-01
Quarterly;2024;;Q4;Professional, Scientific and Technical Activities;9400.92406;Q4 2024;2024-10-01
Quarterly;2024;;Q2;Human Health and Social Work Activities;19885.684622;Q2 2024;2024-04-01
Quarterly;2024;;Q1;Total;2668079.191;Q1 2024;2024-01-01
Quarterly;2024;;Q2;Total;2751842.227;Q2 2024;2024-04-01
Monthly;2024;MAR;;Agriculture, Forestry and Fishing;8817.228875;MAR 2024;2024-03-01
Monthly;2024;MAR;;Mining and Quarrying;44125.529018;MAR 2024;2024-03-01
Monthly;2024;JUL;;Mining and Quarrying;47150.21052;JUL 2024;2024-07-01
Monthly;2024;AUG;;Mining and Quarrying;47045.904651;AUG 2024;2024-08-01
Monthly;2024;OCT;;Mining and Quarrying;48408.645384;OCT 2024;2024-10-01
Monthly;2024;DEC;;Mining and Quarrying;50207.201768;DEC 2024;2024-12-01
Monthly;2024;FEB;;Manufacturing;175526.149954;FEB 2024;2024-02-01
Monthly;2024;NOV;;Manufacturing;180233.167087;NOV 2024;2024-11-01
Monthly;2024;MAR;;Electricity, Gas and Water Supplies;147995.476871;MAR 2024;2024-03-01
Monthly;2024;AUG;;Electricity, Gas and Water Supplies;164688.84115;AUG 2024;2024-08-01
Monthly;2024;OCT;;Electricity, Gas and Water Supplies;169807.942477;OCT 2024;2024-10-01
Monthly;2024;NOV;;Electricity, Gas and Water Supplies;173228.296253;NOV 2024;2024-11-01
Monthly;2024;DEC;;Electricity, Gas and Water Supplies;177175.283271;DEC 2024;2024-12-01
Monthly;2024;SEP;;Construction;136144.210746;SEP 2024;2024-09-01
Monthly;2024;OCT;;Construction;122249.790952;OCT 2024;2024-10-01
Monthly;2024;JAN;;Transportation and Storage;46606.470238;JAN 2024;2024-01-01
Monthly;2024;MAR;;Transportation and Storage;45699.299418;MAR 2024;2024-03-01
Monthly;2024;APR;;Accommodation and Food Service Activities;40161.103677;APR 2024;2024-04-01
Monthly;2024;JUN;;Accommodation and Food Service Activities;41002.563298;JUN 2024;2024-06-01
Monthly;2024;JUL;;Accommodation and Food Service Activities;42264.635174;JUL 2024;2024-07-01
Monthly;2024;AUG;;Accommodation and Food Service Activities;41762.666983;AUG 2024;2024-08-01
Monthly;2024;JUN;;Information and Communication;26614.48414186;JUN 2024;2024-06-01
Monthly;2024;JUL;;Information and Communication;26179.81113286;JUL 2024;2024-07-01
Monthly;2024;NOV;;Information and Communication;25978.23270886;NOV 2024;2024-11-01
Monthly;2024;JAN;;Financial and Insurance Activities;112729.264031;JAN 2024;2024-01-01
Monthly;2024;MAY;;Financial and Insurance Activities;121014.938934;MAY 2024;2024-05-01
Monthly;2024;JUN;;Financial and Insurance Activities;125183.872393;JUN 2024;2024-06-01
Monthly;2024;DEC;;Financial and Insurance Activities;156589.2333685;DEC 2024;2024-12-01
Monthly;2024;MAR;;Real Estate Activities;266604.55543729;MAR 2024;2024-03-01
Monthly;2024;NOV;;Real Estate Activities;315570.173373;NOV 2024;2024-11-01
Monthly;2024;JUN;;Professional, Scientific and Technical Activities;9858.692633;JUN 2024;2024-06-01
Monthly;2024;AUG;;Professional, Scientific and Technical Activities;10143.745331;AUG 2024;2024-08-01
Monthly;2024;MAY;;Administrative and Support Service Activities;61590.14891;MAY 2024;2024-05-01
Monthly;2024;FEB;;Education;6321.376711;FEB 2024;2024-02-01
Monthly;2024;OCT;;Education;7700.154023;OCT 2024;2024-10-01
Monthly;2024;APR;;Human Health and Social Work Activities;20491.302758;APR 2024;2024-04-01
Monthly;2024;JUL;;Individuals' Loans;1298996.28906905;JUL 2024;2024-07-01
Monthly;2024;NOV;;Individuals' Loans;1349736.61641445;NOV 2024;2024-11-01
Monthly;2024;APR;;Other Activities;120044.90008053;APR 2024;2024-04-01
Monthly;2024;MAR;;Total;2668079.191;MAR 2024;2024-03-01
Monthly;2024;APR;;Total;2683362.758;APR 2024;2024-04-01
Monthly;2024;JUL;;Total;2791301.093;JUL 2024;2024-07-01
Monthly;2024;SEP;;Total;2853138.67;SEP 2024;2024-09-01
Monthly;2024;NOV;;Total;2932460.291;NOV 2024;2024-11-01
Annually;2024;;;Individuals' Loans;1363546.12727093;2024;2024-01-01
Quarterly;2024;;Q2;Mining and Quarrying;48318.131195;Q2 2024;2024-04-01
Quarterly;2024;;Q4;Manufacturing;180308.452664;Q4 2024;2024-10-01
Quarterly;2024;;Q3;Electricity, Gas and Water Supplies;167050.999199;Q3 2024;2024-07-01
Quarterly;2024;;Q2;Construction;132508.035049;Q2 2024;2024-04-01
Quarterly;2024;;Q1;Transportation and Storage;45699.299418;Q1 2024;2024-01-01
Quarterly;2024;;Q4;Transportation and Storage;54830.34827;Q4 2024;2024-10-01
Quarterly;2024;;Q2;Financial and Insurance Activities;125183.872393;Q2 2024;2024-04-01
Quarterly;2024;;Q4;Financial and Insurance Activities;156589.2333685;Q4 2024;2024-10-01
Quarterly;2024;;Q4;Real Estate Activities;321483.1182339;Q4 2024;2024-10-01
Quarterly;2024;;Q3;Professional, Scientific and Technical Activities;10718.319605;Q3 2024;2024-07-01
Quarterly;2024;;Q2;Education;6608.374054;Q2 2024;2024-04-01
Quarterly;2024;;Q4;Human Health and Social Work Activities;22414.490506;Q4 2024;2024-10-01
Quarterly;2024;;Q1;Individuals' Loans;1268354.46838358;Q1 2024;2024-01-01
Quarterly;2024;;Q2;Individuals' Loans;1292834.31083277;Q2 2024;2024-04-01
Monthly;2024;FEB;;Agriculture, Forestry and Fishing;10487.459163;FEB 2024;2024-02-01
Monthly;2024;MAY;;Agriculture, Forestry and Fishing;9784.340772;MAY 2024;2024-05-01
Monthly;2024;JUN;;Agriculture, Forestry and Fishing;10092.20299;JUN 2024;2024-06-01
Monthly;2024;JUL;;Agriculture, Forestry and Fishing;10078.293175;JUL 2024;2024-07-01
Monthly;2024;AUG;;Agriculture, Forestry and Fishing;9877.008602;AUG 2024;2024-08-01
Monthly;2024;JAN;;Mining and Quarrying;39826.063632;JAN 2024;2024-01-01
Monthly;2024;FEB;;Mining and Quarrying;43217.44229;FEB 2024;2024-02-01
Monthly;2024;APR;;Mining and Quarrying;44715.950821;APR 2024;2024-04-01
Monthly;2024;OCT;;Manufacturing;178946.929579;OCT 2024;2024-10-01
Monthly;2024;FEB;;Construction;125138.27861508;FEB 2024;2024-02-01
Monthly;2024;NOV;;Construction;123429.961494;NOV 2024;2024-11-01
Monthly;2024;FEB;;Wholesale and Retail Trade;188817.05928336;FEB 2024;2024-02-01
Monthly;2024;MAY;;Wholesale and Retail Trade;196608.196147;MAY 2024;2024-05-01
Monthly;2024;AUG;;Wholesale and Retail Trade;204607.46968;AUG 2024;2024-08-01
Monthly;2024;OCT;;Transportation and Storage;55071.879321;OCT 2024;2024-10-01
Monthly;2024;NOV;;Transportation and Storage;56167.859162;NOV 2024;2024-11-01
Monthly;2024;FEB;;Accommodation and Food Service Activities;43281.55613;FEB 2024;2024-02-01
Monthly;2024;OCT;;Accommodation and Food Service Activities;42549.038239;OCT 2024;2024-10-01
Monthly;2024;NOV;;Accommodation and Food Service Activities;42628.560064;NOV 2024;2024-11-01
Monthly;2024;OCT;;Information and Communication;26018.89725386;OCT 2024;2024-10-01
Monthly;2024;FEB;;Financial and Insurance Activities;115239.631672;FEB 2024;2024-02-01
Monthly;2024;APR;;Financial and Insurance Activities;118295.38136975;APR 2024;2024-04-01
Monthly;2024;NOV;;Financial and Insurance Activities;156333.051474;NOV 2024;2024-11-01
Monthly;2024;JAN;;Real Estate Activities;253983.849285;JAN 2024;2024-01-01
Monthly;2024;JUL;;Real Estate Activities;287104.812502;JUL 2024;2024-07-01
Monthly;2024;DEC;;Real Estate Activities;321483.1182339;DEC 2024;2024-12-01
Monthly;2024;FEB;;Professional, Scientific and Technical Activities;8077.027663;FEB 2024;2024-02-01
Monthly;2024;JUL;;Professional, Scientific and Technical Activities;9760.450064;JUL 2024;2024-07-01
Monthly;2024;SEP;;Professional, Scientific and Technical Activities;10718.319605;SEP 2024;2024-09-01
Monthly;2024;APR;;Administrative and Support Service Activities;59520.0419;APR 2024;2024-04-01
Monthly;2024;JUN;;Administrative and Support Service Activities;63077.902155;JUN 2024;2024-06-01
Monthly;2024;SEP;;Administrative and Support Service Activities;67013.713577;SEP 2024;2024-09-01
Monthly;2024;APR;;Education;6579.207535;APR 2024;2024-04-01
Monthly;2024;JUN;;Education;6608.374054;JUN 2024;2024-06-01
Monthly;2024;AUG;;Education;6785.434545;AUG 2024;2024-08-01
Monthly;2024;NOV;;Education;8249.258199;NOV 2024;2024-11-01
Monthly;2024;MAR;;Human Health and Social Work Activities;19863.074342;MAR 2024;2024-03-01
Monthly;2024;FEB;;Individuals' Loans;1256747.02112724;FEB 2024;2024-02-01
Monthly;2024;JAN;;Other Activities;117464.1459073;JAN 2024;2024-01-01
Monthly;2024;MAR;;Other Activities;121176.77518827;MAR 2024;2024-03-01
Monthly;2024;JUL;;Other Activities;125052.98852409;JUL 2024;2024-07-01
Monthly;2024;AUG;;Other Activities;124295.56259838;AUG 2024;2024-08-01
Monthly;2024;DEC;;Other Activities;146032.38203281;DEC 2024;2024-12-01
Monthly;2024;OCT;;Total;2883500.185;OCT 2024;2024-10-01
Annually;2024;;;Mining and Quarrying;50207.201768;2024;2024-01-01
Annually;2024;;;Electricity, Gas and Water Supplies;177175.283271;2024;2024-01-01
Annually;2024;;;Financial and Insurance Activities;156589.2333685;2024;2024-01-01
Annually;2024;;;Professional, Scientific and Technical Activities;9400.92406;2024;2024-01-01
Annually;2024;;;Education;8347.4986;2024;2024-01-01
Annually;2024;;;Total;2955550.051;2024;2024-01-01
Quarterly;2024;;Q2;Agriculture, Forestry and Fishing;10092.20299;Q2 2024;2024-04-01
Quarterly;2024;;Q3;Agriculture, Forestry and Fishing;9424.702448;Q3 2024;2024-07-01
Quarterly;2024;;Q4;Agriculture, Forestry and Fishing;8317.108786;Q4 2024;2024-10-01
Quarterly;2024;;Q2;Manufacturing;175549.316903;Q2 2024;2024-04-01
Quarterly;2024;;Q3;Manufacturing;180141.59093;Q3 2024;2024-07-01
Quarterly;2024;;Q4;Construction;120285.955535;Q4 2024;2024-10-01
Quarterly;2024;;Q1;Wholesale and Retail Trade;192728.466813;Q1 2024;2024-01-01
Quarterly;2024;;Q2;Transportation and Storage;49662.996879;Q2 2024;2024-04-01
Quarterly;2024;;Q4;Accommodation and Food Service Activities;46041.134928;Q4 2024;2024-10-01
Quarterly;2024;;Q1;Information and Communication;22690.51703686;Q1 2024;2024-01-01
Quarterly;2024;;Q4;Administrative and Support Service Activities;66261.657265;Q4 2024;2024-10-01
Quarterly;2024;;Q1;Education;6461.420522;Q1 2024;2024-01-01
Quarterly;2024;;Q3;Education;7508.318253;Q3 2024;2024-07-01
Quarterly;2024;;Q3;Individuals' Loans;1323976.27855934;Q3 2024;2024-07-01
Monthly;2024;SEP;;Agriculture, Forestry and Fishing;9424.702448;SEP 2024;2024-09-01
Monthly;2024;MAY;;Manufacturing;170779.514218;MAY 2024;2024-05-01
Monthly;2024;JUL;;Manufacturing;175958.039622;JUL 2024;2024-07-01
Monthly;2024;SEP;;Manufacturing;180141.59093;SEP 2024;2024-09-01
Monthly;2024;JUL;;Electricity, Gas and Water Supplies;162094.087819;JUL 2024;2024-07-01
Monthly;2024;MAR;;Construction;127332.585134;MAR 2024;2024-03-01
Monthly;2024;APR;;Construction;128860.665268;APR 2024;2024-04-01
Monthly;2024;AUG;;Construction;138694.930881;AUG 2024;2024-08-01
Monthly;2024;JAN;;Wholesale and Retail Trade;186394.659415;JAN 2024;2024-01-01
Monthly;2024;MAR;;Wholesale and Retail Trade;192728.466813;MAR 2024;2024-03-01
Monthly;2024;SEP;;Wholesale and Retail Trade;203052.900274;SEP 2024;2024-09-01
Monthly;2024;MAY;;Transportation and Storage;47880.174846;MAY 2024;2024-05-01
Monthly;2024;JUN;;Transportation and Storage;49662.996879;JUN 2024;2024-06-01
Monthly;2024;DEC;;Transportation and Storage;54830.34827;DEC 2024;2024-12-01
Monthly;2024;APR;;Real Estate Activities;270007.71498829;APR 2024;2024-04-01
Monthly;2024;JUN;;Real Estate Activities;275612.544257;JUN 2024;2024-06-01
Monthly;2024;AUG;;Real Estate Activities;295730.589724;AUG 2024;2024-08-01
Monthly;2024;JAN;;Administrative and Support Service Activities;56392.802582;JAN 2024;2024-01-01
Monthly;2024;FEB;;Administrative and Support Service Activities;59924.021949;FEB 2024;2024-02-01
Monthly;2024;MAR;;Administrative and Support Service Activities;59709.199333;MAR 2024;2024-03-01
Monthly;2024;JAN;;Education;6470.249666;JAN 2024;2024-01-01
Monthly;2024;MAY;;Education;6463.73221;MAY 2024;2024-05-01
Monthly;2024;SEP;;Education;7508.318253;SEP 2024;2024-09-01
Monthly;2024;JAN;;Human Health and Social Work Activities;19766.077391;JAN 2024;2024-01-01
Monthly;2024;JUL;;Human Health and Social Work Activities;20264.986717;JUL 2024;2024-07-01
Monthly;2024;SEP;;Human Health and Social Work Activities;21415.756257;SEP 2024;2024-09-01
Monthly;2024;JAN;;Individuals' Loans;1247356.90261484;JAN 2024;2024-01-01
Monthly;2024;MAY;;Individuals' Loans;1283983.72585037;MAY 2024;2024-05-01
Monthly;2024;DEC;;Individuals' Loans;1363546.12727093;DEC 2024;2024-12-01
Monthly;2024;OCT;;Other Activities;140402.0700768;OCT 2024;2024-10-01
Monthly;2024;NOV;;Other Activities;142723.66615069;NOV 2024;2024-11-01
Monthly;2024;JAN;;Total;2621726.048;JAN 2024;2024-01-01
Monthly;2024;MAY;;Total;2724160.392;MAY 2024;2024-05-01
Monthly;2024;JUN;;Total;2751842.227;JUN 2024;2024-06-01
Monthly;2024;APR;;Information and Communication;23080.82040886;APR 2024;2024-04-01
Monthly;2024;DEC;;Information and Communication;25684.06672686;DEC 2024;2024-12-01
Annually;2024;;;Construction;120285.955535;2024;2024-01-01
Annually;2024;;;Accommodation and Food Service Activities;46041.134928;2024;2024-01-01
Annually;2024;;;Human Health and Social Work Activities;22414.490506;2024;2024-01-01
Annually;2024;;;Other Activities;146032.38203281;2024;2024-01-01
Quarterly;2024;;Q1;Mining and Quarrying;44125.529018;Q1 2024;2024-01-01
Quarterly;2024;;Q3;Mining and Quarrying;47183.083088;Q3 2024;2024-07-01
Quarterly;2024;;Q2;Electricity, Gas and Water Supplies;158755.474287;Q2 2024;2024-04-01
Quarterly;2024;;Q3;Construction;136144.210746;Q3 2024;2024-07-01
Quarterly;2024;;Q3;Transportation and Storage;51218.097524;Q3 2024;2024-07-01
Quarterly;2024;;Q2;Accommodation and Food Service Activities;41002.563298;Q2 2024;2024-04-01
Quarterly;2024;;Q3;Accommodation and Food Service Activities;41674.485087;Q3 2024;2024-07-01
Quarterly;2024;;Q4;Information and Communication;25684.06672686;Q4 2024;2024-10-01
Quarterly;2024;;Q3;Financial and Insurance Activities;135991.508245;Q3 2024;2024-07-01
Quarterly;2024;;Q2;Real Estate Activities;275612.544257;Q2 2024;2024-04-01
Quarterly;2024;;Q1;Professional, Scientific and Technical Activities;7238.630402;Q1 2024;2024-01-01
Quarterly;2024;;Q2;Administrative and Support Service Activities;63077.902155;Q2 2024;2024-04-01
Quarterly;2024;;Q3;Administrative and Support Service Activities;67013.713577;Q3 2024;2024-07-01
Quarterly;2024;;Q4;Education;8347.4986;Q4 2024;2024-10-01
Quarterly;2024;;Q1;Human Health and Social Work Activities;19863.074342;Q1 2024;2024-01-01
Quarterly;2024;;Q2;Other Activities;119756.07721937;Q2 2024;2024-04-01
Quarterly;2024;;Q3;Other Activities;124420.1833168;Q3 2024;2024-07-01
Quarterly;2024;;Q4;Other Activities;146032.38203281;Q4 2024;2024-10-01
Quarterly;2024;;Q4;Total;2955550.051;Q4 2024;2024-10-01
Monthly;2024;JAN;;Agriculture, Forestry and Fishing;10750.264645;JAN 2024;2024-01-01
Monthly;2024;APR;;Agriculture, Forestry and Fishing;9239.96692;APR 2024;2024-04-01
Monthly;2024;OCT;;Agriculture, Forestry and Fishing;9202.055398;OCT 2024;2024-10-01
Monthly;2024;DEC;;Agriculture, Forestry and Fishing;8317.108786;DEC 2024;2024-12-01
Monthly;2024;MAR;;Manufacturing;172785.666754;MAR 2024;2024-03-01
Monthly;2024;APR;;Manufacturing;173670.092527;APR 2024;2024-04-01
Monthly;2024;FEB;;Electricity, Gas and Water Supplies;146163.55639524;FEB 2024;2024-02-01
Monthly;2024;APR;;Electricity, Gas and Water Supplies;150482.375418;APR 2024;2024-04-01
Monthly;2024;MAY;;Electricity, Gas and Water Supplies;160190.206778;MAY 2024;2024-05-01
Monthly;2024;SEP;;Electricity, Gas and Water Supplies;167050.999199;SEP 2024;2024-09-01
Monthly;2024;JAN;;Construction;124266.279103;JAN 2024;2024-01-01
Monthly;2024;JUN;;Construction;132508.035049;JUN 2024;2024-06-01
Monthly;2024;JUL;;Construction;135411.165273;JUL 2024;2024-07-01
Monthly;2024;APR;;Wholesale and Retail Trade;194180.935981;APR 2024;2024-04-01
Monthly;2024;JUN;;Wholesale and Retail Trade;196521.564091;JUN 2024;2024-06-01
Monthly;2024;OCT;;Wholesale and Retail Trade;201510.771117;OCT 2024;2024-10-01
Monthly;2024;DEC;;Wholesale and Retail Trade;198625.067714;DEC 2024;2024-12-01
Monthly;2024;APR;;Transportation and Storage;45806.295561;APR 2024;2024-04-01
Monthly;2024;AUG;;Transportation and Storage;51746.39795;AUG 2024;2024-08-01
Monthly;2024;JAN;;Information and Communication;27754.09508586;JAN 2024;2024-01-01
Monthly;2024;FEB;;Information and Communication;22637.30772586;FEB 2024;2024-02-01
Monthly;2024;MAR;;Information and Communication;22690.51703686;MAR 2024;2024-03-01
Monthly;2024;MAY;;Information and Communication;26866.08563886;MAY 2024;2024-05-01
Monthly;2024;AUG;;Information and Communication;26652.72313586;AUG 2024;2024-08-01
Monthly;2024;OCT;;Financial and Insurance Activities;144440.304757;OCT 2024;2024-10-01
Monthly;2024;JAN;;Professional, Scientific and Technical Activities;8270.310888;JAN 2024;2024-01-01
Monthly;2024;MAR;;Professional, Scientific and Technical Activities;7238.630402;MAR 2024;2024-03-01
Monthly;2024;MAY;;Professional, Scientific and Technical Activities;9465.657293;MAY 2024;2024-05-01
Monthly;2024;NOV;;Professional, Scientific and Technical Activities;9612.75987;NOV 2024;2024-11-01
Monthly;2024;NOV;;Administrative and Support Service Activities;67348.751211;NOV 2024;2024-11-01
Monthly;2024;DEC;;Administrative and Support Service Activities;66261.657265;DEC 2024;2024-12-01
Monthly;2024;JUL;;Education;6898.953048;JUL 2024;2024-07-01
Monthly;2024;DEC;;Education;8347.4986;DEC 2024;2024-12-01
Monthly;2024;MAY;;Human Health and Social Work Activities;20586.547044;MAY 2024;2024-05-01
Monthly;2024;NOV;;Human Health and Social Work Activities;21612.129118;NOV 2024;2024-11-01
Monthly;2024;OCT;;Individuals' Loans;1339148.04878534;OCT 2024;2024-10-01
Monthly;2024;SEP;;Other Activities;124420.1833168;SEP 2024;2024-09-01
Monthly;2024;FEB;;Total;2648605.827;FEB 2024;2024-02-01
Annually;2023;;;Accommodation and Food Service Activities;41699.791693;2023;2023-01-01
Annually;2023;;;Education;6409.627849;2023;2023-01-01
Annually;2023;;;Human Health and Social Work Activities;19909.41033;2023;2023-01-01
Annually;2023;;;Individuals' Loans;1245334.25243279;2023;2023-01-01
Quarterly;2023;;Q3;Agriculture, Forestry and Fishing;11549.822255;Q3 2023;2023-07-01
Quarterly;2023;;Q1;Mining and Quarrying;38889.274228;Q1 2023;2023-01-01
Quarterly;2023;;Q3;Electricity, Gas and Water Supplies;133036.10130739;Q3 2023;2023-07-01
Quarterly;2023;;Q1;Transportation and Storage;43465.270413;Q1 2023;2023-01-01
Quarterly;2023;;Q4;Transportation and Storage;47499.250293;Q4 2023;2023-10-01
Quarterly;2023;;Q2;Financial and Insurance Activities;103737.973645;Q2 2023;2023-04-01
Quarterly;2023;;Q2;Real Estate Activities;221265.073735;Q2 2023;2023-04-01
Quarterly;2023;;Q1;Professional, Scientific and Technical Activities;5592.959372;Q1 2023;2023-01-01
Quarterly;2023;;Q3;Professional, Scientific and Technical Activities;6348.303733;Q3 2023;2023-07-01
Quarterly;2023;;Q1;Human Health and Social Work Activities;18315.639499;Q1 2023;2023-01-01
Quarterly;2023;;Q3;Human Health and Social Work Activities;18740.17105;Q3 2023;2023-07-01
Quarterly;2023;;Q4;Human Health and Social Work Activities;19909.41033;Q4 2023;2023-10-01
Quarterly;2023;;Q2;Individuals' Loans;1207347.61730043;Q2 2023;2023-04-01
Quarterly;2023;;Q3;Other Activities;105784.60301687;Q3 2023;2023-07-01
Quarterly;2023;;Q4;Total;2583698.135;Q4 2023;2023-10-01
Monthly;2023;JAN;;Agriculture, Forestry and Fishing;11622.139355;JAN 2023;2023-01-01
Monthly;2023;OCT;;Agriculture, Forestry and Fishing;11695.31347138;OCT 2023;2023-10-01
Monthly;2023;NOV;;Agriculture, Forestry and Fishing;11796.36466853;NOV 2023;2023-11-01
Monthly;2023;JAN;;Mining and Quarrying;38266.211858;JAN 2023;2023-01-01
Monthly;2023;FEB;;Mining and Quarrying;38879.171887;FEB 2023;2023-02-01
Monthly;2023;MAR;;Mining and Quarrying;38889.274228;MAR 2023;2023-03-01
Monthly;2023;APR;;Mining and Quarrying;39167.197611;APR 2023;2023-04-01
Monthly;2023;JUL;;Mining and Quarrying;41260.917229;JUL 2023;2023-07-01
Monthly;2023;AUG;;Mining and Quarrying;41091.045478;AUG 2023;2023-08-01
Monthly;2023;SEP;;Mining and Quarrying;41747.191203;SEP 2023;2023-09-01
Monthly;2023;DEC;;Mining and Quarrying;40164.315845;DEC 2023;2023-12-01
Monthly;2023;MAR;;Manufacturing;169198.10555268;MAR 2023;2023-03-01
Monthly;2023;JUL;;Manufacturing;171543.25896002;JUL 2023;2023-07-01
Monthly;2023;SEP;;Manufacturing;171918.50633511;SEP 2023;2023-09-01
Monthly;2023;MAY;;Electricity, Gas and Water Supplies;125317.510274;MAY 2023;2023-05-01
Monthly;2023;AUG;;Electricity, Gas and Water Supplies;132971.81136495;AUG 2023;2023-08-01
Monthly;2023;OCT;;Electricity, Gas and Water Supplies;135381.14238392;OCT 2023;2023-10-01
Monthly;2023;SEP;;Wholesale and Retail Trade;184663.23808348;SEP 2023;2023-09-01
Monthly;2023;NOV;;Wholesale and Retail Trade;183895.38065226;NOV 2023;2023-11-01
Monthly;2023;DEC;;Wholesale and Retail Trade;184413.50202386;DEC 2023;2023-12-01
Monthly;2023;NOV;;Transportation and Storage;48835.190383;NOV 2023;2023-11-01
Monthly;2023;FEB;;Information and Communication;19794.48468186;FEB 2023;2023-02-01
Monthly;2023;FEB;;Financial and Insurance Activities;105127.171178;FEB 2023;2023-02-01
Monthly;2023;MAR;;Financial and Insurance Activities;107937.461093;MAR 2023;2023-03-01
Monthly;2023;FEB;;Professional, Scientific and Technical Activities;5705.539814;FEB 2023;2023-02-01
Monthly;2023;DEC;;Professional, Scientific and Technical Activities;7814.801267;DEC 2023;2023-12-01
Monthly;2023;JAN;;Administrative and Support Service Activities;46807.067342;JAN 2023;2023-01-01
Monthly;2023;FEB;;Administrative and Support Service Activities;47296.175034;FEB 2023;2023-02-01
Monthly;2023;MAR;;Administrative and Support Service Activities;50061.699733;MAR 2023;2023-03-01
Monthly;2023;APR;;Education;5386.750369;APR 2023;2023-04-01
Monthly;2023;MAY;;Education;5601.943242;MAY 2023;2023-05-01
Monthly;2023;JUL;;Education;6130.879235;JUL 2023;2023-07-01
Monthly;2023;OCT;;Education;6165.977976;OCT 2023;2023-10-01
Monthly;2023;NOV;;Education;6314.242098;NOV 2023;2023-11-01
Monthly;2023;SEP;;Individuals' Loans;1225257.76775329;SEP 2023;2023-09-01
Monthly;2023;NOV;;Individuals' Loans;1240290.44273161;NOV 2023;2023-11-01
Monthly;2023;APR;;Other Activities;94757.6406927798;APR 2023;2023-04-01
Monthly;2023;AUG;;Other Activities;104602.60450053;AUG 2023;2023-08-01
Monthly;2023;SEP;;Other Activities;105784.60301687;SEP 2023;2023-09-01
Monthly;2023;OCT;;Other Activities;106323.81712616;OCT 2023;2023-10-01
Monthly;2023;FEB;;Total;2389253.339;FEB 2023;2023-02-01
Monthly;2023;APR;;Transportation and Storage;44052.516691;APR 2023;2023-04-01
Monthly;2023;JUL;;Accommodation and Food Service Activities;40964.061661;JUL 2023;2023-07-01
Monthly;2023;SEP;;Accommodation and Food Service Activities;42146.122089;SEP 2023;2023-09-01
Monthly;2023;OCT;;Accommodation and Food Service Activities;41142.920385;OCT 2023;2023-10-01
Monthly;2023;NOV;;Information and Communication;24511.54188886;NOV 2023;2023-11-01
Monthly;2023;APR;;Total;2417965.416;APR 2023;2023-04-01
Monthly;2023;SEP;;Total;2543851.478;SEP 2023;2023-09-01
Monthly;2023;NOV;;Total;2587455.47;NOV 2023;2023-11-01
Annually;2023;;;Agriculture, Forestry and Fishing;10697.76681289;2023;2023-01-01
Annually;2023;;;Electricity, Gas and Water Supplies;141713.73600541;2023;2023-01-01
Annually;2023;;;Construction;120417.17523142;2023;2023-01-01
Annually;2023;;;Professional, Scientific and Technical Activities;7814.801267;2023;2023-01-01
Annually;2023;;;Other Activities;112335.34466727;2023;2023-01-01
Quarterly;2023;;Q3;Mining and Quarrying;41747.191203;Q3 2023;2023-07-01
Quarterly;2023;;Q1;Manufacturing;169198.10555268;Q1 2023;2023-01-01
Quarterly;2023;;Q2;Manufacturing;172885.08654527;Q2 2023;2023-04-01
Quarterly;2023;;Q4;Manufacturing;172142.7914425;Q4 2023;2023-10-01
Quarterly;2023;;Q1;Construction;118549.192782;Q1 2023;2023-01-01
Quarterly;2023;;Q3;Construction;123030.800179;Q3 2023;2023-07-01
Quarterly;2023;;Q4;Wholesale and Retail Trade;184413.50202386;Q4 2023;2023-10-01
Quarterly;2023;;Q3;Information and Communication;23812.64890986;Q3 2023;2023-07-01
Quarterly;2023;;Q4;Information and Communication;23764.32848386;Q4 2023;2023-10-01
Quarterly;2023;;Q3;Financial and Insurance Activities;112260.146145;Q3 2023;2023-07-01
Quarterly;2023;;Q4;Financial and Insurance Activities;109200.537222;Q4 2023;2023-10-01
Quarterly;2023;;Q1;Individuals' Loans;1183015.43971141;Q1 2023;2023-01-01
Quarterly;2023;;Q2;Other Activities;97066.19227944;Q2 2023;2023-04-01
Quarterly;2023;;Q3;Total;2543851.478;Q3 2023;2023-07-01
Monthly;2023;APR;;Agriculture, Forestry and Fishing;11209.459966;APR 2023;2023-04-01
Monthly;2023;MAY;;Agriculture, Forestry and Fishing;11564.426152;MAY 2023;2023-05-01
