Periodicity;Year;Month;Quarter;Economic Activity;Bank Credit in (Million Riyals);Date;Date_Object
Quarterly;2026;;Q1;Manufacturing;199937.970880184;Q1 2026;2026-01-01
Quarterly;2026;;Q2;Manufacturing;199422.335918042;Q2 2026;2026-04-01
Quarterly;2026;;Q2;Accommodation and Food Service Activities;60968.4322754042;Q2 2026;2026-04-01
Quarterly;2026;;Q1;Administrative and Support Service Activities;76428.434;Q1 2026;2026-01-01
Quarterly;2026;;Q1;Education;7887.99420002249;Q1 2026;2026-01-01
Quarterly;2026;;Q2;Education;8483.9529012575;Q2 2026;2026-04-01
Monthly;2026;JUL;;Agriculture, Forestry and Fishing;9810.739;JUL 2026;2026-07-01
Monthly;2026;MAY;;Mining and Quarrying;45739.817;MAY 2026;2026-05-01
Monthly;2026;JUN;;Mining and Quarrying;46410.426;JUN 2026;2026-06-01
Monthly;2026;FEB;;Manufacturing;200917.414517903;FEB 2026;2026-02-01
Monthly;2026;JAN;;Electricity, Gas and Water Supplies;212581.099174154;JAN 2026;2026-01-01
Monthly;2026;FEB;;Electricity, Gas and Water Supplies;217503.482796852;FEB 2026;2026-02-01
Monthly;2026;JUL;;Electricity, Gas and Water Supplies;254123.530358421;JUL 2026;2026-07-01
Monthly;2026;FEB;;Construction;140634.242116934;FEB 2026;2026-02-01
Monthly;2026;MAR;;Construction;143486.214910927;MAR 2026;2026-03-01
Monthly;2026;APR;;Wholesale and Retail Trade;220466.177215473;APR 2026;2026-04-01
Monthly;2026;FEB;;Transportation and Storage;75622.16055318;FEB 2026;2026-02-01
Monthly;2026;MAR;;Accommodation and Food Service Activities;59861.4551006584;MAR 2026;2026-03-01
Monthly;2026;MAY;;Accommodation and Food Service Activities;59692.4893505253;MAY 2026;2026-05-01
Monthly;2026;JAN;;Financial and Insurance Activities;180841.693213561;JAN 2026;2026-01-01
Monthly;2026;FEB;;Financial and Insurance Activities;182578.919830903;FEB 2026;2026-02-01
Monthly;2026;APR;;Financial and Insurance Activities;192016.459500587;APR 2026;2026-04-01
Monthly;2026;MAR;;Real Estate Activities;408960.122775218;MAR 2026;2026-03-01
Monthly;2026;MAY;;Real Estate Activities;409149.947591652;MAY 2026;2026-05-01
Monthly;2026;JUL;;Real Estate Activities;417028.283466022;JUL 2026;2026-07-01
Monthly;2026;MAY;;Administrative and Support Service Activities;76428.83;MAY 2026;2026-05-01
Monthly;2026;FEB;;Education;7788.775;FEB 2026;2026-02-01
Monthly;2026;APR;;Education;8227.124166891;APR 2026;2026-04-01
Monthly;2026;MAY;;Education;8223.0750034281;MAY 2026;2026-05-01
Monthly;2026;JUN;;Education;8483.9529012575;JUN 2026;2026-06-01
Monthly;2026;JAN;;Human Health and Social Work Activities;29468.9850311983;JAN 2026;2026-01-01
Monthly;2026;JAN;;Individuals' Loans;1445432.65155442;JAN 2026;2026-01-01
Monthly;2026;FEB;;Individuals' Loans;1448667.34202027;FEB 2026;2026-02-01
Monthly;2026;JAN;;Other Activities;172462.68134533;JAN 2026;2026-01-01
Monthly;2026;MAR;;Other Activities;171516.99841217;MAR 2026;2026-03-01
Monthly;2026;APR;;Total;3376463.5623966;APR 2026;2026-04-01
Quarterly;2026;;Q2;Wholesale and Retail Trade;220795.088210038;Q2 2026;2026-04-01
Quarterly;2026;;Q1;Accommodation and Food Service Activities;59861.4551006584;Q1 2026;2026-01-01
Quarterly;2026;;Q1;Professional, Scientific and Technical Activities;18556.343;Q1 2026;2026-01-01
Quarterly;2026;;Q2;Administrative and Support Service Activities;75397.87;Q2 2026;2026-04-01
Quarterly;2026;;Q1;Human Health and Social Work Activities;30060.5120507898;Q1 2026;2026-01-01
Quarterly;2026;;Q1;Other Activities;171516.99841217;Q1 2026;2026-01-01
Quarterly;2026;;Q1;Total;3355205.89191504;Q1 2026;2026-01-01
Monthly;2026;JUN;;Agriculture, Forestry and Fishing;10304.256;JUN 2026;2026-06-01
Monthly;2026;APR;;Mining and Quarrying;46066.921;APR 2026;2026-04-01
Monthly;2026;JAN;;Manufacturing;196916.370100035;JAN 2026;2026-01-01
Monthly;2026;MAR;;Manufacturing;199937.970880184;MAR 2026;2026-03-01
Monthly;2026;JUN;;Electricity, Gas and Water Supplies;248856.239823167;JUN 2026;2026-06-01
Monthly;2026;MAY;;Construction;150094.723266323;MAY 2026;2026-05-01
Monthly;2026;JAN;;Wholesale and Retail Trade;218561.689020098;JAN 2026;2026-01-01
Monthly;2026;MAY;;Wholesale and Retail Trade;218965.729318187;MAY 2026;2026-05-01
Monthly;2026;JAN;;Information and Communication;31051.14995486;JAN 2026;2026-01-01
Monthly;2026;FEB;;Real Estate Activities;400354.513275584;FEB 2026;2026-02-01
Monthly;2026;FEB;;Professional, Scientific and Technical Activities;17262.551;FEB 2026;2026-02-01
Monthly;2026;APR;;Professional, Scientific and Technical Activities;13802.058;APR 2026;2026-04-01
Monthly;2026;MAY;;Professional, Scientific and Technical Activities;14013.659;MAY 2026;2026-05-01
Monthly;2026;JUL;;Professional, Scientific and Technical Activities;14060.9439856298;JUL 2026;2026-07-01
Monthly;2026;JAN;;Administrative and Support Service Activities;73396.839;JAN 2026;2026-01-01
Monthly;2026;MAR;;Administrative and Support Service Activities;76428.434;MAR 2026;2026-03-01
Monthly;2026;JAN;;Education;7841.151;JAN 2026;2026-01-01
Monthly;2026;JUN;;Human Health and Social Work Activities;32411.4219989297;JUN 2026;2026-06-01
Monthly;2026;MAY;;Individuals' Loans;1454941.33942691;MAY 2026;2026-05-01
Monthly;2026;JUN;;Other Activities;178015.71301025;JUN 2026;2026-06-01
Annually;2025;;;Human Health and Social Work Activities;29149.9416644377;2025;2025-01-01
